,plate,state,license_type,summons_number,issue_date,violation_time,violation,judgment_entry_date,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,summons_image
223,GYA6645,NY,PAS,8478815624,05/08/2017,02:05P,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkZsNVRrRTlQUT09&locationName=_____________________)
224,E65EAH,NJ,PAS,1452920588,01/02/2020,11:10A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,32.0,,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFhM2xOUkZVMFQwRTlQUT09&locationName=_____________________)
225,GXD6331,NY,PAS,8478815570,05/08/2017,01:45P,NO STANDING-EXC. TRUCK LOADING,,95.0,10.0,0.0,10.0,95.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkZVelRVRTlQUT09&locationName=_____________________)
226,AGB8809,NY,PAS,4677285433,01/28/2020,10:18A,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,25.0,0.0,25.0,50.0,0.0,0.0,BK,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZTVFJPVkZGNlRYYzlQUT09&locationName=_____________________)
227,GGN5845,NY,PAS,8640451503,03/05/2020,01:52P,INSP. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,112.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMUVVVEZOVkZWM1RYYzlQUT09&locationName=_____________________)
228,PRZ2527,MN,PAS,8600251321,10/10/2017,01:42P,PLTFRM LFTS LWRD POS COMM VEH,,65.0,0.0,0.0,37.0,28.0,0.0,18.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVTVEZOVkUxNVRWRTlQUT09&locationName=_____________________)
229,16157MC,NY,COM,8600251473,10/11/2017,01:27P,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,18.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVTVEZOVkZFelRYYzlQUT09&locationName=_____________________)
230,XEVD76,NJ,PAS,8600253044,10/17/2017,04:07P,NO STANDING-DAY/TIME LIMITS,,115.0,10.0,0.0,125.0,0.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVTVEZOZWtFd1RrRTlQUT09&locationName=_____________________)
231,HMZ4547,NY,PAS,8600254206,10/22/2017,02:51P,NO STOPPING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVTVEZPUkVsM1RtYzlQUT09&locationName=_____________________)
232,HSU5176,NY,PAS,8600258686,11/14/2017,04:40P,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVTVEZQUkZrMFRtYzlQUT09&locationName=_____________________)
233,22095MK,NY,COM,8600304052,10/10/2017,09:32A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,6.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGRPUkVFeFRXYzlQUT09&locationName=_____________________)
234,HAX3109,NY,PAS,8478815673,05/08/2017,03:09P,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkZrelRYYzlQUT09&locationName=_____________________)
235,CLN3728,NY,PAS,8478815648,05/08/2017,02:16P,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkZrd1QwRTlQUT09&locationName=_____________________)
236,DBM4782,NY,PAS,8478815752,05/08/2017,05:36P,EXPIRED MUNI METER,,65.0,0.0,0.0,0.0,65.0,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkdNeFRXYzlQUT09&locationName=_____________________)
237,GZP9476,NY,PAS,8478815703,05/08/2017,04:25P,EXPIRED MUNI METER,,65.0,0.0,0.0,65.0,0.0,0.0,13.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkdOM1RYYzlQUT09&locationName=_____________________)
238,AWUMAD,NY,SRF,8478900767,11/19/2016,12:45P,NO STANDING-COMM METER ZONE,03/09/2017,115.0,60.0,2.93,0.04,177.89,0.0,13.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2ROUkdNeVRuYzlQUT09&locationName=_____________________)
239,98689ME,NY,COM,8478815776,05/08/2017,05:46P,FAIL TO DSPLY MUNI METER RECPT,,65.0,0.0,0.0,0.0,65.0,0.0,17.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkdNelRtYzlQUT09&locationName=_____________________)
240,GBV1463,NY,PAS,8564453162,05/16/2017,01:56P,NO STANDING-DAY/TIME LIMITS,,115.0,10.0,0.0,10.0,115.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWtVeVRXYzlQUT09&locationName=_____________________)
241,HDV5076,NY,PAS,8548953950,05/09/2017,04:47P,FRONT OR BACK PLATE MISSING,,65.0,10.0,0.0,0.0,75.0,0.0,68.0,K,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1FOUVhekZOZW1zeFRVRTlQUT09&locationName=_____________________)
242,DPJ2750,NY,PAS,8564453277,05/16/2017,03:42P,INSP. STICKER-EXPIRED/MISSING,,65.0,10.0,0.0,10.0,65.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWtrelRuYzlQUT09&locationName=_____________________)
243,FFR1535,NY,PAS,4677695660,01/29/2020,05:18P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZXVFZPVkZreVRVRTlQUT09&locationName=_____________________)
244,J82JEK,NJ,PAS,4677695969,01/29/2020,05:32P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,MN,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZXVFZPVkdzeVQxRTlQUT09&locationName=_____________________)
245,JCT5543,NY,PAS,8609743718,11/06/2018,02:25P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,26.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwOVVZekJOZW1ONFQwRTlQUT09&locationName=_____________________)
246,FFW2933,NY,PAS,8600422772,11/28/2017,08:21A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVVWGxOYW1NelRXYzlQUT09&locationName=_____________________)
247,68758MH,NY,COM,8600308987,10/31/2017,09:41A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,115.0,0.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGRQUkdzMFRuYzlQUT09&locationName=_____________________)
248,82922ME,NY,COM,8600309025,10/31/2017,12:43P,SIDEWALK,,115.0,0.0,0.0,10.0,105.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGRQVkVGNVRsRTlQUT09&locationName=_____________________)
249,T617610C,NY,OMT,8528924452,07/05/2017,08:46A,OBSTRUCTING TRAFFIC/INTERSECT,,115.0,0.0,0.0,0.0,115.0,0.0,52.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xPUkZFeFRXYzlQUT09&locationName=_____________________)
250,T716215C,NY,OMT,8528924440,07/05/2017,08:44A,OBSTRUCTING TRAFFIC/INTERSECT,,115.0,0.0,0.0,0.0,115.0,0.0,52.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xPUkZFd1RVRTlQUT09&locationName=_____________________)
251,83315ME,NY,COM,8600309529,11/03/2017,09:42A,NO STOPPING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGRQVkZWNVQxRTlQUT09&locationName=_____________________)
252,FPP8244,NY,PAS,8478815764,05/08/2017,05:41P,EXPIRED MUNI METER,,65.0,0.0,0.0,0.0,65.0,0.0,17.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVaM2hPVkdNeVRrRTlQUT09&locationName=_____________________)
253,HPE1996,NY,PAS,8564453319,05/16/2017,04:36P,NO PARKING-DAY/TIME LIMITS,,60.0,10.0,0.0,10.0,60.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWsxNFQxRTlQUT09&locationName=_____________________)
254,HPD4883,NY,PAS,8564453265,05/16/2017,03:07P,DOUBLE PARKING,,115.0,0.0,0.0,0.0,115.0,0.0,107.0,Q,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWtreVRsRTlQUT09&locationName=_____________________)
255,2698614,PA,PAS,8564453332,05/16/2017,05:16P,FRONT OR BACK PLATE MISSING,,65.0,10.0,0.0,0.0,75.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWsxNlRXYzlQUT09&locationName=_____________________)
256,GYJ8504,NY,PAS,8564453320,05/16/2017,05:05P,REG. STICKER-EXPIRED/MISSING,,65.0,10.0,0.0,10.0,65.0,0.0,107.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWsxNVRVRTlQUT09&locationName=_____________________)
257,HCV4494,NY,PAS,8564453216,05/16/2017,02:29P,DOUBLE PARKING,,115.0,0.0,0.0,115.0,0.0,0.0,107.0,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWtsNFRtYzlQUT09&locationName=_____________________)
258,FEY7342,NY,PAS,8314532216,12/22/2016,07:42A,NO PARKING-STREET CLEANING,04/13/2017,45.0,60.0,0.51,0.1,105.41,0.0,49.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVFNUVWWHBOYWtsNFRtYzlQUT09&locationName=_____________________)
259,78055JY,NY,COM,8478902089,01/04/2017,01:05P,FAIL TO DSPLY MUNI METER RECPT,,65.0,10.0,0.0,4.99,70.01,0.0,10.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2ROYWtFMFQxRTlQUT09&locationName=_____________________)
260,A78HLE,NJ,PAS,8484426208,07/17/2017,07:05A,DOUBLE PARKING,,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxPYWtsM1QwRTlQUT09&locationName=_____________________)
261,46519MC,NY,COM,8484426233,07/17/2017,10:07A,DOUBLE PARKING-MIDTOWN COMML,,115.0,0.0,0.0,33.0,82.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxPYWtsNlRYYzlQUT09&locationName=_____________________)
262,GGZ5239,NY,PAS,8640451813,03/06/2020,02:07P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,0.0,35.0,0.0,102.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMUVVVEZOVkdkNFRYYzlQUT09&locationName=_____________________)
263,DSM7105,NY,PAS,4677295578,01/28/2020,11:52A,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,25.0,0.0,25.0,50.0,0.0,0.0,BX,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZTVFZPVkZVelQwRTlQUT09&locationName=_____________________)
264,JEG2930,NY,PAS,4677696226,01/29/2020,05:47P,PHTO SCHOOL ZN SPEED VIOLATION,,50.0,0.0,0.0,0.0,50.0,0.0,0.0,ST,DEPARTMENT OF TRANSPORTATION,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNTZXVFZPYWtsNVRtYzlQUT09&locationName=_____________________)
265,77961JY,NY,COM,8600310763,11/09/2017,07:42A,NO STOPPING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGhOUkdNeVRYYzlQUT09&locationName=_____________________)
266,32764JZ,NY,COM,8600310775,11/09/2017,07:57A,NO STANDING-EXC. AUTH. VEHICLE,,95.0,0.0,0.0,19.0,76.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGhOUkdNelRsRTlQUT09&locationName=_____________________)
267,89406MJ,NY,COM,8600311871,11/13/2017,11:01A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,9.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGhOVkdjelRWRTlQUT09&locationName=_____________________)
268,51535JW,NY,COM,8600312097,11/14/2017,09:32A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGhOYWtFMVRuYzlQUT09&locationName=_____________________)
269,28605MH,NY,COM,8600312152,11/14/2017,01:04P,SIDEWALK,,115.0,0.0,0.0,10.0,105.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVUWGhOYWtVeFRXYzlQUT09&locationName=_____________________)
270,HMK1583,NY,OMS,8600414593,11/03/2017,12:45P,REG. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,0.0,65.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVVWGhPUkZVMVRYYzlQUT09&locationName=_____________________)
271,1BK3130,MD,PAS,8600418665,11/17/2017,09:35A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,79.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVVWGhQUkZreVRsRTlQUT09&locationName=_____________________)
272,T50AGK,NJ,PAS,8600454372,11/03/2017,11:07A,NO STANDING-EXC. TRUCK LOADING,,95.0,0.0,0.0,0.0,95.0,0.0,1.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVVVEZPUkUwelRXYzlQUT09&locationName=_____________________)
273,T683081C,NY,OMT,8484426191,07/17/2017,07:03A,OVERTIME PKG-TIME LIMIT POSTED,,65.0,0.0,0.0,0.0,65.0,0.0,14.0,NY,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxPYWtVMVRWRTlQUT09&locationName=_____________________)
274,HKM2719,NY,PAS,8314532605,12/23/2016,06:57A,NO PARKING-DAY/TIME LIMITS,04/13/2017,60.0,60.0,0.39,0.0,120.39,0.0,43.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSTmVFNUVWWHBOYWxsM1RsRTlQUT09&locationName=_____________________)
275,62444JV,NY,COM,8478902764,01/10/2017,11:29A,REG. STICKER-EXPIRED/MISSING,,65.0,30.0,0.0,0.0,95.0,0.0,13.0,NY,TRAFFIC,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk0wOUVhM2ROYW1NeVRrRTlQUT09&locationName=_____________________)
276,77961JY,NY,COM,8600455613,11/10/2017,09:45A,NO STANDING-EXC. AUTH. VEHICLE,,95.0,0.0,0.0,19.0,76.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVVVEZPVkZsNFRYYzlQUT09&locationName=_____________________)
277,DNY9512,NY,PAS,8564453915,05/18/2017,02:37P,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,105.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZW10NFRsRTlQUT09&locationName=_____________________)
278,FYA8892,NY,PAS,8564453940,05/18/2017,03:12P,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,105.0,Q,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZW1zd1RVRTlQUT09&locationName=_____________________)
279,HBT7215,NY,PAS,8600509993,10/31/2017,08:44A,INSP. STICKER-EXPIRED/MISSING,,65.0,10.0,0.0,10.0,65.0,0.0,121.0,R,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWWGRQVkdzMVRYYzlQUT09&locationName=_____________________)
280,GUX1430,NY,PAS,8600510650,11/02/2017,07:29A,NO PARKING-DAY/TIME LIMITS,,60.0,0.0,0.0,0.0,60.0,0.0,122.0,R,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWWGhOUkZreFRVRTlQUT09&locationName=_____________________)
281,2197025,IN,PAS,8600550579,10/02/2017,10:26A,NO PARKING-DAY/TIME LIMITS,,65.0,0.0,0.0,65.0,0.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZOUkZVelQxRTlQUT09&locationName=_____________________)
282,24939JZ,NY,COM,8600553404,10/16/2017,02:33P,FAIL TO DISP. MUNI METER RECPT,,65.0,0.0,0.0,37.0,28.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZOZWxGM1RrRTlQUT09&locationName=_____________________)
283,83315ME,NY,COM,8600557288,11/02/2017,11:26A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZPZWtrMFQwRTlQUT09&locationName=_____________________)
284,80352MD,NY,COM,8600557290,11/02/2017,11:32A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZPZWtrMVRVRTlQUT09&locationName=_____________________)
285,31340MG,NY,COM,8600557306,11/02/2017,11:34A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZPZWsxM1RtYzlQUT09&locationName=_____________________)
286,QAW9084,GA,PAS,8528924660,07/05/2017,12:10P,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,47.0,BX,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xPUkZreVRVRTlQUT09&locationName=_____________________)
287,V73HWG,NJ,PAS,8528924683,07/05/2017,12:33P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,35.0,0.0,0.0,47.0,BX,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xPUkZrMFRYYzlQUT09&locationName=_____________________)
288,HFV7789,NY,PAS,8538418002,06/22/2017,11:08A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,0.0,115.0,0.0,84.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhQUkVGM1RXYzlQUT09&locationName=_____________________)
289,GML7607,NY,PAS,8538418130,06/23/2017,10:12A,NO PARKING-STREET CLEANING,,45.0,0.0,0.0,0.0,45.0,0.0,81.0,K,TRAFFIC,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVrOUVVWGhQUkVWNlRVRTlQUT09&locationName=_____________________)
290,37785MD,NY,COM,8564453680,05/17/2017,04:41P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,15.0,20.0,0.0,106.0,Q,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZOZWxrMFRVRTlQUT09&locationName=_____________________)
291,CLC6259,GA,PAS,1452921088,01/02/2020,03:16P,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,POLICE DEPARTMENT,,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFhM2xOVkVFMFQwRTlQUT09&locationName=_____________________)
292,HGC4719,NY,PAS,1452921064,01/02/2020,03:45P,FIRE HYDRANT,,115.0,0.0,0.0,0.0,115.0,0.0,14.0,NY,POLICE DEPARTMENT,HEARING HELD-GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VFZSUk1VMXFhM2xOVkVFeVRrRTlQUT09&locationName=_____________________)
293,OYB1354,NJ,PAS,8484426506,07/18/2017,06:17A,NO STANDING-COMM METER ZONE,,115.0,0.0,0.0,115.0,0.0,0.0,14.0,NY,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSUk5FNUVVWGxPYWxWM1RtYzlQUT09&locationName=_____________________)
294,GBE1720,NY,PAS,8564454129,05/18/2017,06:06P,FAIL TO DSPLY MUNI METER RECPT,,35.0,0.0,0.0,35.0,0.0,0.0,105.0,Q,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1rNUVVVEZPUkVWNVQxRTlQUT09&locationName=_____________________)
295,22671MC,NY,COM,8528924828,07/05/2017,02:30P,EXPIRED MUNI METER,,35.0,0.0,0.0,35.0,0.0,0.0,48.0,BX,TRAFFIC,HEARING HELD-NOT GUILTY,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVOUVhM2xPUkdkNVQwRTlQUT09&locationName=_____________________)
296,79503MJ,NY,COM,8600557320,11/02/2017,11:46A,NO STOPPING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZPZWsxNVRVRTlQUT09&locationName=_____________________)
297,31405MG,NY,COM,8600557513,11/03/2017,09:52A,NO STANDING-DAY/TIME LIMITS,,115.0,0.0,0.0,23.0,92.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZPZWxWNFRYYzlQUT09&locationName=_____________________)
298,31405MG,NY,COM,8600557525,11/03/2017,09:53A,INSP. STICKER-EXPIRED/MISSING,,65.0,0.0,0.0,37.0,28.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZPZWxWNVRsRTlQUT09&locationName=_____________________)
299,82808ME,NY,COM,8600557653,11/03/2017,10:54A,NO STANDING-BUS STOP,,115.0,0.0,0.0,10.0,105.0,0.0,1.0,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,View Summons (http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmQwMUVWVEZPZWxreFRYYzlQUT09&locationName=_____________________)
